stock,ticker,market cap,beta,price,sector
"Depomed, Inc.",DEPO,$592.24M,0.18,258.38,Health Care
"NuVasive, Inc.",NUVA,$3.95B,1.83,726.04,Health Care
Siebert Financial Corp.,SIEB,$83.04M,0.45,529.85,Finance
Waters Corporation,WAT,$14.74B,1.81,45.86,Capital Goods
Nuveen Michigan Quality Municipal Income Fund,NUM,$286.36M,0.03,238.26,n/a
Vuzix Corporation,VUZI,$123.47M,1.09,921.47,Technology
"Endologix, Inc.",ELGX,$385M,2,243.76,Health Care
SpartanNash Company,SPTN,$1.03B,0.75,390.96,Consumer Non-Durables
"One Horizon Group, Inc.",OHGI,$5.79M,0.95,680.28,Public Utilities
Atlantica Yield plc,ABY,$2.05B,1.74,21.22,Public Utilities
"ATN International, Inc.",ATNI,$1.15B,1.64,339.17,Public Utilities
"Saul Centers, Inc.",BFS,$1.28B,1.28,722.38,Consumer Services
"Collectors Universe, Inc.",CLCT,$225.7M,0.43,300.99,Miscellaneous
News Corporation,NWS,$8.23B,1.32,30.24,Consumer Services
Cemtrex Inc.,CETX,$32.63M,1.19,590.51,Capital Goods
Capital Bank Financial Corp.,CBF,$1.99B,0.08,598.44,Finance
"Nuance Communications, Inc.",NUAN,$5.24B,1.89,293.65,Technology
"Sandy Spring Bancorp, Inc.",SASR,$970.14M,1.53,237.28,Finance
Eagle Point Credit Company Inc.,ECCB,n/a,1.77,951.44,n/a
"CB Financial Services, Inc.",CBFV,$110.17M,1.68,204.23,Finance
"Willamette Valley Vineyards, Inc.",WVVIP,n/a,0.69,615.8,Consumer Non-Durables
"Snyder's-Lance, Inc.",LNCE,$3.44B,0.07,879.64,Consumer Non-Durables
Cherokee Inc.,CHKE,$94.54M,1.18,527.49,Consumer Non-Durables
Mesabi Trust,MSB,$173.18M,1.73,217.01,Basic Industries
Canadian National Railway Company,CNI,$61.92B,0.44,782.13,Transportation
"Internationa Flavors & Fragrances, Inc.",IFF,$10.63B,1.64,113.35,Basic Industries
"Aptose Biosciences, Inc.",APTO,$22.73M,1.64,607.15,Health Care
VictoryShares International High Div Volatility Wtd ETF,CID,n/a,0.85,417.77,n/a
"TRC Companies, Inc.",TRR,$555.08M,0.92,504.55,Consumer Services
"Onvia, Inc.",ONVI,$30.65M,1.41,588.76,Miscellaneous
"Rennova Health, Inc.",RNVA,$2.63M,0.74,379.41,Health Care
"Global Ship Lease, Inc.",GSL^B,n/a,0.65,468.65,n/a
"OneBeacon Insurance Group, Ltd.",OB,$1.72B,0.46,378.84,Finance
Haemonetics Corporation,HAE,$2.15B,0.96,179.18,Health Care
"Southern Missouri Bancorp, Inc.",SMBC,$235.72M,1.03,348.08,Finance
The Cheesecake Factory Incorporated,CAKE,$2.54B,1.71,918.18,Consumer Services
"Five Prime Therapeutics, Inc.",FPRX,$809.46M,1.45,529.76,Health Care
Abbott Laboratories,ABT,$83.66B,1.75,982.02,Health Care
"LM Funding America, Inc.",LMFAW,n/a,1.54,544.89,Finance
"Everest Re Group, Ltd.",RE,$10.5B,0.87,163.62,Finance
"Genesis Healthcare, Inc.",GEN           ,$282.79M,0.32,211.13,Health Care
"Groupon, Inc.",GRPN,$1.81B,0.28,742.28,Technology
"Arrowhead Pharmaceuticals, Inc.",ARWR,$118.89M,0.98,42.12,Health Care
Eagle Bulk Shipping Inc.,EGLE,$332.73M,1.61,908.12,Transportation
"Organovo Holdings, Inc.",ONVO,$272.97M,0.54,85.56,Health Care
WisdomTree Emerging Markets Corporate Bond Fund,EMCB,$50.49M,1.58,706.73,n/a
VictoryShares Emerging Market Volatility Wtd ETF,CEZ,n/a,1.82,413.83,n/a
"Morgan Stanley India Investment Fund, Inc.",IIF,$491.37M,0.64,170.15,n/a
Southwest Airlines Company,LUV,$36.46B,1.44,162.05,Transportation
PAR Technology Corporation,PAR,$136.02M,0.62,517.02,Miscellaneous
Westrock Company,WRK,$14.44B,1.34,136.63,Consumer Durables
"Summit Midstream Partners, LP",SMLP,$1.7B,0.15,578.85,Public Utilities
"Smart Sand, Inc.",SND,$318.69M,1.35,191.7,n/a
"The Chefs' Warehouse, Inc.",CHEF,$387.37M,0.13,631.65,Consumer Non-Durables
"Athersys, Inc.",ATHX,$158.07M,0.72,40.46,Health Care
Landmark Bancorp Inc.,LARK,$119.93M,1.89,252.28,Finance
Alliant Energy Corporation,LNT,$9.61B,1.47,345.99,Public Utilities
Cone Midstream Partners LP,CNNX,$1.17B,1.75,142.71,Public Utilities
KKR & Co. L.P.,KKR^A,n/a,0.02,277.86,n/a
TAL Education Group,TAL,$9.56B,1.33,305.49,Consumer Services
U.S. Bancorp,USB^H,n/a,0.32,953.05,n/a
"Twenty-First Century Fox, Inc.",FOXA,$33.51B,1.58,296.94,Consumer Services
"Prudential Financial, Inc.",PRH,n/a,1.4,717.23,Finance
"Mednax, Inc",MD,$5.26B,0.98,519.22,Health Care
ADMA Biologics Inc,ADMA,$39.24M,0.93,890.71,Health Care
"Global Self Storage, Inc.",SELF,$38.25M,1.03,896.36,Consumer Services
MGM Growth Properties LLC,MGP,$1.68B,0.78,221.62,Consumer Services
icad inc.,ICAD,$68.61M,1.27,9.87,Health Care
Fluidigm Corporation,FLDM,$107.22M,0.89,203.46,Capital Goods
Aurinia Pharmaceuticals Inc,AUPH,$495.07M,1.82,919.02,Health Care
Enel Generacion Chile S.A.,EOCC,$6.28B,1.03,693.31,Public Utilities
Hutchison China MediTech Limited,HCM,$2.78B,0.72,325.8,Health Care
Public Storage,PSA^B,n/a,1.33,273.49,Consumer Services
"Wilhelmina International, Inc.",WHLM,$38.75M,1.45,751.19,Consumer Services
"Southern Missouri Bancorp, Inc.",SMBC,$235.72M,1.15,237.19,Finance
Voya Asia Pacific High Dividend Equity Income Fund,IAE,$126.72M,1.57,684.69,n/a
"Ohr Pharmaceuticals, Inc.",OHRP,$33.73M,1.15,649.9,Health Care
"Workday, Inc.",WDAY,$20.37B,0.76,965.18,Technology
Vantage Energy Acquisition Corp.,VEACW,n/a,0.48,779.74,Finance
"Digital Realty Trust, Inc.",DLR,$18.91B,0.15,829.99,Consumer Services
Monmouth Real Estate Investment Corporation,MNR^C,n/a,0.79,80.3,n/a
"Audentes Therapeutics, Inc.",BOLD,$463.59M,0.14,627.87,Health Care
"Fortune Brands Home & Security, Inc.",FBHS,$9.9B,1.4,149.64,Basic Industries
Emclaire Financial Corp,EMCF,$59.2M,0.36,446.53,Finance
Tecnoglass Inc.,TGLS,$308.09M,1.68,872.06,Consumer Durables
MER Telemanagement Solutions Ltd.,MTSL,$5.27M,1.18,685.71,Public Utilities
Capital Southwest Corporation,CSWC,$258.42M,0.24,321.24,n/a
"Dermira, Inc.",DERM,$1.19B,1.04,212.11,Health Care
"HopFed Bancorp, Inc.",HFBC,$100.76M,1.92,135.87,Finance
Boulevard Acquisition Corp. II,BLVD,$461.58M,0.68,762.41,Finance
Check-Cap Ltd.,CHEK,$29.39M,1.46,525.14,Health Care
Thomson Reuters Corp,TRI,$32.96B,1.98,31.72,Consumer Services
"China Ceramics Co., Ltd.",CCCL,$4.5M,1.55,459.2,Capital Goods
TD Ameritrade Holding Corporation,AMTD,$21.48B,1.11,775.85,Finance
Quinpario Acquisition Corp. 2,QPACU,n/a,1.66,795.15,Miscellaneous
"Core-Mark Holding Company, Inc.",CORE,$1.59B,0.89,582.08,Consumer Non-Durables
Southwestern Energy Company,SWN,$3.07B,0.81,311.18,Energy
"Altimmune, Inc.",ALT,$2.44M,1.99,308.69,Health Care
IAC/InterActiveCorp,IAC,$7.98B,1.23,157.95,Consumer Services
"First Interstate BancSystem, Inc.",FIBK,$2.13B,1.3,253.94,Finance
"Rexford Industrial Realty, Inc.",REXR^A,n/a,1.05,311.77,n/a
Clearwater Paper Corporation,CLW,$732.83M,0.79,6.29,Basic Industries
EVINE Live Inc.,EVLV,$67.58M,1.35,923.1,Consumer Services
Vanguard Russell 3000 ETF,VTHR,$333.23M,0.33,384.09,n/a
GGP Inc.,GGP^A,n/a,0.46,487.31,Consumer Services
"Perceptron, Inc.",PRCP,$68.49M,0.86,487.95,Capital Goods
"Lydall, Inc.",LDL,$907.09M,1.14,288.19,Capital Goods
"Timberland Bancorp, Inc.",TSBK,$177.78M,0.51,641.71,Finance
"Carrols Restaurant Group, Inc.",TAST,$450.72M,1.24,729.04,Consumer Services
"Zafgen, Inc.",ZFGN,$99.64M,1.81,897.66,Health Care
Navient Corporation,NAVI,$4.33B,0.81,176.4,Finance
FedEx Corporation,FDX,$56.28B,0.53,696.55,Transportation
VictoryShares Emerging Market Volatility Wtd ETF,CEZ,n/a,1.34,697.56,n/a
Allstate Corporation (The),ALL^A,n/a,0.01,365.63,n/a
"Blackrock MuniVest Fund II, Inc.",MVT,$337.68M,1.33,411.19,n/a
"Maximus, Inc.",MMS,$4.13B,1.04,604.81,Miscellaneous
"MoSys, Inc.",MOSY,$14.15M,1.91,789.47,Technology
"Reinsurance Group of America, Incorporated",RGA,$8.29B,1.58,616.08,Finance
Resolute Energy Corporation,REN           ,$684.03M,1.9,978.83,Energy
Rice Energy Inc.,RICE,$4.04B,0.53,482.42,Energy
"Clear Channel Outdoor Holdings, Inc.",CCO,$1.54B,0.4,272.41,Consumer Services
Signature Bank,SBNYW,n/a,0.35,843.48,Finance
"NuVasive, Inc.",NUVA,$3.95B,0.91,695.96,Health Care
Park-Ohio Holdings Corp.,PKOH,$480.35M,1.7,250.76,Capital Goods
"Equity Lifestyle Properties, Inc.",ELS,$7.49B,1.34,426.43,Consumer Services
"Kinsale Capital Group, Inc.",KNSL,$780.46M,1.65,435.75,Finance
Mobile TeleSystems OJSC,MBT,$8.63B,1.61,454.59,Public Utilities
"PhaseRx, Inc.",PZRX,$12.16M,0.44,774.2,Health Care
"Ashford Hospitality Prime, Inc.",AHP,$313.01M,1.36,836.78,Consumer Services
First Trust Japan AlphaDEX Fund,FJP,$57.72M,0.25,360.71,n/a
Sirius XM Holdings Inc.,SIRI,$24.14B,1.68,398.64,Consumer Services
Eagle Point Credit Company Inc.,ECCA,n/a,0.88,482.74,n/a
Shenandoah Telecommunications Co,SHEN,$1.58B,0.48,914.04,Public Utilities
Atomera Incorporated,ATOM,$52.17M,0.62,110.96,Technology
"Innovative Solutions and Support, Inc.",ISSC,$67.47M,1.83,966.94,Technology
XOMA Corporation,XOMA,$48.4M,1.26,637.63,Health Care
"Globus Medical, Inc.",GMED,$3.17B,1.11,516.8,Health Care
M&T Bank Corporation,MTB^C,n/a,1.83,899.65,n/a
"Aerie Pharmaceuticals, Inc.",AERI,$1.8B,1.45,385.37,Health Care
PowerShares S&P SmallCap Information Technology Portfolio,PSCT,$534.38M,1.04,349.54,n/a
IXYS Corporation,IXYS,$513.83M,1.2,123.63,Technology
VALE S.A.,VALE.P,n/a,0.23,190.35,n/a
Nymox Pharmaceutical Corporation,NYMX,$192.72M,0.58,58.04,Health Care
Flaherty & Crumrine Preferred Income Fund Incorporated,PFD,$173.59M,1.87,637.15,n/a
DDR Corp.,DDR^A,n/a,1.34,877.59,n/a
"Cytokinetics, Incorporated",CYTK,$614.08M,1.47,713.58,Health Care
OUTFRONT Media Inc.,OUT,$3.27B,1.51,286.39,Consumer Services
Willis Towers Watson Public Limited Company,WLTW,$20.23B,0.93,289.62,Finance
Destination Maternity Corporation,DEST,$64.48M,1.13,928.91,Consumer Services
"Commercial Vehicle Group, Inc.",CVGI,$235.35M,1.02,272.26,Capital Goods
TAT Technologies Ltd.,TATT,$95.35M,0.35,627.2,Capital Goods
Pengrowth Energy Corporation,PGH,$449.92M,1.34,892.94,Energy
"Micron Technology, Inc.",MU,$33.03B,1.53,218.72,Technology
"Taubman Centers, Inc.",TCO^J,n/a,0.39,520.83,n/a
Liberty Media Corporation,BATRA,n/a,0.99,689.15,Consumer Services
Saban Capital Acquisition Corp.,SCACU,n/a,0.36,17.96,n/a
Saban Capital Acquisition Corp.,SCACW,n/a,0.97,40.49,Finance
"Gores Holdings II, Inc.",GSHTU,n/a,0.44,287.1,Finance
"VistaGen Therapeutics, Inc.",VTGN,$15.62M,1.84,422.1,Health Care
"American National Bankshares, Inc.",AMNB,$330M,1.48,177.81,Finance
Gramercy Property Trust,GPT,$4.59B,1.74,890.5,Consumer Services
Kroger Company (The),KR,$20.34B,1.19,879.17,Consumer Services
LCNB Corporation,LCNB,$204.58M,0.3,847.29,Finance
Centrais Electricas Brasileiras S.A.- Eletrobras,EBR,$5.13B,0.81,218.38,Public Utilities
CytRx Corporation,CYTR,$87.43M,0.96,760.81,Health Care
Vornado Realty Trust,VNO^I,n/a,0.8,370.63,n/a
"AG Mortgage Investment Trust, Inc.",MITT,$518.09M,1.56,509.01,n/a
Yulong Eco-Materials Limited,YECO,$5.4M,0.26,721.6,Capital Goods
Bridgford Foods Corporation,BRID,$130.25M,0.7,358.93,Consumer Non-Durables
"Cutera, Inc.",CUTR,$323.6M,0.82,270.25,Health Care
Scorpio Tankers Inc.,STNG,$658.35M,0.38,921.31,Transportation
Cytosorbents Corporation,CTSO,$102.6M,1.24,863.47,Health Care
"PRA Group, Inc.",PRAA,$1.67B,0.84,63.47,Finance
"Carver Bancorp, Inc.",CARV,$12.93M,0.83,876.6,Finance
Cameco Corporation,CCJ,$3.63B,0.4,304.79,Basic Industries
"Royce Micro-Cap Trust, Inc.",RMT,$323.02M,0.49,955.59,n/a
Global X SuperDividend REIT ETF,SRET,$3.09M,1.26,864.28,n/a
Wells Fargo & Company,WFC^T,n/a,0.79,248.02,n/a
Domino's Pizza Inc,DPZ,$10.14B,0.73,574.01,Consumer Non-Durables
"Applied Industrial Technologies, Inc.",AIT,$2.35B,0.37,64.18,Consumer Durables
"Onvia, Inc.",ONVI,$30.65M,0.44,423.18,Miscellaneous
"DigitalGlobe, Inc",DGI,$1.96B,1.51,880.5,Consumer Services
"SG Blocks, Inc.",SGBX,"$87,854.20 ",0.33,354.67,n/a
"MercadoLibre, Inc.",MELI,$11.63B,0.11,383.56,Miscellaneous
Invesco California Value Municipal Income Trust,VCV,$609.33M,0.4,557.65,n/a
China Finance Online Co. Limited,JRJC,$44.17M,1.19,518.82,Finance
AbbVie Inc.,ABBV,$113.08B,0.54,998.79,Health Care
BlackRock Income Trust Inc. (The),BKT,$402.84M,1.68,820.99,n/a
PartnerRe Ltd.,PRE^F,n/a,1.35,931.83,n/a
"GenVec, Inc.",GNVC,$16.35M,1.73,41.58,Health Care
Embotelladora Andina S.A.,AKO.A,n/a,1.73,150.31,n/a
"Oil States International, Inc.",OIS,$1.49B,0.63,807.53,Energy
Regency Centers Corporation,REG^G,n/a,1.92,539.57,n/a
"Safe Bulkers, Inc",SB^C,n/a,1.59,895.99,n/a
Suncor Energy  Inc.,SU,$49.63B,1.75,402.51,Energy
Cousins Properties Incorporated,CUZ,$3.77B,0.8,538.99,Consumer Services
"Depomed, Inc.",DEPO,$592.24M,1.81,710.23,Health Care
Arbor Realty Trust,ABR,$515.96M,0.17,33.4,Consumer Services
"Southside Bancshares, Inc.",SBSI,$1.02B,1.59,542.07,Finance
"Banco Santander, S.A.",SAN^C,n/a,0.31,137.5,n/a
"Hallmark Financial Services, Inc.",HALL,$208.13M,0.89,288.37,Finance
Kornit Digital Ltd.,KRNT,$643.74M,1.92,581.61,Capital Goods
Resonant Inc.,RESN,$57.73M,0.77,423.7,Technology
Western Asset Global Corporate Defined Opportunity Fund Inc.,GDO,$267.88M,1.39,294.41,n/a
Nuveen New Jersey Quality Municipal Income Fund,NXJ,$589.8M,1.49,350.92,n/a
OceanFirst Financial Corp.,OCFC,$912.14M,0.5,259.69,Finance
"Limbach Holdings, Inc.",LMB,$88.11M,1.62,285.11,Basic Industries
CVS Health Corporation,CVS,$78.51B,1.16,944.71,Health Care
"Nova Lifestyle, Inc",NVFY,$37.75M,0.38,515.29,Consumer Durables
vTv Therapeutics Inc.,VTVT,$154.55M,1.71,161.84,Health Care
Forum Merger Corporation,FMCI,$217.09M,0.55,50.08,Finance
Comcast Corporation,CCZ,n/a,1.47,6,Consumer Services
"NCS Multistage Holdings, Inc.",NCSM,$1.01B,1.51,315.27,n/a
"Rigel Pharmaceuticals, Inc.",RIGL,$306.09M,0.74,207.98,Health Care
"Condor Hospitality Trust, Inc.",CDOR,$121.9M,1.46,346.68,Consumer Services
"Second Sight Medical Products, Inc.",EYESW,n/a,0.31,964.79,Health Care
"Dupont Fabros Technology, Inc.",DFT,$4.93B,1.35,241.94,Finance
Bel Fuse Inc.,BELFB,$312.96M,1.9,219,Capital Goods
"Dillard's, Inc.",DDS,$1.62B,1.2,700.43,Consumer Services
Whitestone REIT,WSR,$464.66M,0.87,910.39,Consumer Services
"NAPCO Security Technologies, Inc.",NSSC,$175.26M,1.84,264.93,Consumer Durables
"SeaChange International, Inc.",SEAC,$95.04M,1.77,996.04,Technology
"Kite Pharma, Inc.",KITE,$4.97B,0.82,236.07,Health Care
"Mammoth Energy Services, Inc.",TUSK,$750.72M,0.63,998.13,Energy
GP Strategies Corporation,GPX,$429.89M,1.95,727.52,Consumer Services
Nutraceutical International Corporation,NUTR,$384.67M,1.79,820.71,Consumer Durables
"Delek Logistics Partners, L.P.",DKL,$800.41M,0.54,48.59,Energy
"Big Lots, Inc.",BIG,$2.12B,1.05,184.5,Consumer Services
Saban Capital Acquisition Corp.,SCAC,$315.63M,1.11,44.78,Finance
"Value Line, Inc.",VALU,$176.62M,1.11,397.92,Finance
Athene Holding Ltd.,ATH,$9.79B,1.79,136.5,Finance
"First Community Financial Partners, Inc.",FCFP,$234.26M,0.97,331.92,Finance
Origo Acquisition Corporation,OACQR,n/a,1.95,379.35,Finance
"J.C. Penney Company, Inc. Holding Company",JCP,$1.56B,0.02,358.84,Consumer Services
"MVC Capital, Inc.",MVC,$219.02M,1.16,301.25,n/a
Corporate Asset Backed Corp CABCO,GYC,n/a,0.82,712.75,Finance
Nuveen High Income November 2021 Target Term Fund,JHB,$568.21M,1.75,421.73,n/a
Hamilton Lane Incorporated,HLNE,$956.82M,1.72,491.35,Finance
"Neos Therapeutics, Inc.",NEOS,$195.15M,0.75,673.89,Health Care
"American Assets Trust, Inc.",AAT,$1.89B,1.21,366.94,Consumer Services
Columbus McKinnon Corporation,CMCO,$615.54M,0.22,855.96,Capital Goods
CRH PLC,CRH,$30.09B,1.03,588.67,Capital Goods
"Landcadia Holdings, Inc.",LCAHU,n/a,0.4,2.03,Finance
Scotts Miracle-Gro Company (The),SMG,$5.23B,0.74,198.33,Basic Industries
"Teligent, Inc.",TLGT,$459.34M,0.6,617.98,Health Care
CGG,CGG,$117.97M,1.19,437.6,Energy
Alpine Global Premier Properties Fund,AWP,$532.95M,0.46,885.74,n/a
"MoSys, Inc.",MOSY,$14.15M,0.84,496.85,Technology
Reliance Steel & Aluminum Co.,RS,$5.28B,1.72,670.59,Basic Industries
"Buckle, Inc. (The)",BKE,$847.52M,1.61,946.17,Consumer Services
"Sigma Labs, Inc.",SGLB,$11.29M,1.49,289.87,Consumer Durables
iPath US Treasury 5-year Bear ETN,DFVS,$1.25M,1.55,113.59,Finance
"Summit Hotel Properties, Inc.",INN,$1.97B,1.88,122.08,Consumer Services
Costamare Inc.,CMRE^D,n/a,0.94,960.41,n/a
News Corporation,NWS,$8.23B,1.07,800.95,Consumer Services
"Impax Laboratories, Inc.",IPXL,$1.02B,1.78,595.23,Health Care
Green Dot Corporation,GDOT,$1.97B,1.62,831.13,Finance
Forward Air Corporation,FWRD,$1.6B,0.33,999.37,Transportation
"Aerohive Networks, Inc.",HIVE,$269.48M,0.95,111.46,Technology
Whiting Petroleum Corporation,WLL,$2.15B,0.42,200.31,Energy
Nuveen AMT-Free Municipal Value Fund,NUV,$2.09B,0.8,147.74,n/a
"TerraForm Power, Inc.",TERP,$1.71B,0.21,165.52,Public Utilities
VelocityShares VIX Short-Term ETN,VIIX,$12.81M,0.36,326.01,Finance
Pope Resources,POPE,$320.19M,0.31,169.82,Consumer Non-Durables
Eagle Materials Inc,EXP,$4.55B,1.25,686.96,Capital Goods
First Trust High Yield Long/Short ETF,HYLS,$1.23B,0.1,23.39,n/a
Phibro Animal Health Corporation,PAHC,$1.43B,0.14,120.56,Health Care
